ParkName,UnitCode,ParkType,Region,State,Year,Month,DayVisits,LodgingOther,CampingOther,CampingTent,CampingRV,CampingBackcountry
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast,KY,2017,1,"4,716",0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast,KY,2017,2,"4,918",0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast,KY,2017,3,"17,492",0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast,KY,2017,4,"26,788",0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast,KY,2017,5,"27,530",0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast,KY,2017,6,"40,216",0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast,KY,2017,7,"44,086",0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast,KY,2017,8,"37,215",0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast,KY,2017,9,"31,035",0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast,KY,2017,10,"20,685",0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast,KY,2017,11,"10,644",0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast,KY,2017,12,"4,255",0,0,0,0,0
Acadia NP,ACAD,National Park,Northeast,ME,2017,1,"15,520",0,0,0,0,0
Acadia NP,ACAD,National Park,Northeast,ME,2017,2,"14,342",0,0,0,0,0
Acadia NP,ACAD,National Park,Northeast,ME,2017,3,"20,936",0,0,0,0,0
Acadia NP,ACAD,National Park,Northeast,ME,2017,4,"85,267",0,0,594,195,0
Acadia NP,ACAD,National Park,Northeast,ME,2017,5,"222,978",0,100,"10,827","3,213",298
Acadia NP,ACAD,National Park,Northeast,ME,2017,6,"476,191",0,343,"24,372","9,360",298
Acadia NP,ACAD,National Park,Northeast,ME,2017,7,"743,529",0,188,"39,429","12,642",325
Acadia NP,ACAD,National Park,Northeast,ME,2017,8,"762,436",0,368,"39,864","11,874",336
Acadia NP,ACAD,National Park,Northeast,ME,2017,9,"595,388",0,556,"27,054","13,554",253
Acadia NP,ACAD,National Park,Northeast,ME,2017,10,"507,594",0,102,"10,446","4,974",87
Acadia NP,ACAD,National Park,Northeast,ME,2017,11,"53,006",0,0,0,0,0
Acadia NP,ACAD,National Park,Northeast,ME,2017,12,"12,084",0,0,0,0,0
Adams NHP,ADAM,National Historical Park,Northeast,MA,2017,1,325,0,0,0,0,0
Adams NHP,ADAM,National Historical Park,Northeast,MA,2017,2,528,0,0,0,0,0
Adams NHP,ADAM,National Historical Park,Northeast,MA,2017,3,905,0,0,0,0,0
Adams NHP,ADAM,National Historical Park,Northeast,MA,2017,4,"12,594",0,0,0,0,0
Adams NHP,ADAM,National Historical Park,Northeast,MA,2017,5,"19,501",0,0,0,0,0
Adams NHP,ADAM,National Historical Park,Northeast,MA,2017,6,"34,573",0,0,0,0,0
Adams NHP,ADAM,National Historical Park,Northeast,MA,2017,7,"52,459",0,0,0,0,0
Adams NHP,ADAM,National Historical Park,Northeast,MA,2017,8,"53,723",0,0,0,0,0
Adams NHP,ADAM,National Historical Park,Northeast,MA,2017,9,"34,171",0,0,0,0,0
Adams NHP,ADAM,National Historical Park,Northeast,MA,2017,10,"36,762",0,0,0,0,0
Adams NHP,ADAM,National Historical Park,Northeast,MA,2017,11,"9,640",0,0,0,0,0
Adams NHP,ADAM,National Historical Park,Northeast,MA,2017,12,381,0,0,0,0,0
African Burial Ground NM,AFBG,National Monument,Northeast,NY,2017,1,"1,241",0,0,0,0,0
African Burial Ground NM,AFBG,National Monument,Northeast,NY,2017,2,"2,830",0,0,0,0,0
African Burial Ground NM,AFBG,National Monument,Northeast,NY,2017,3,"1,841",0,0,0,0,0
African Burial Ground NM,AFBG,National Monument,Northeast,NY,2017,4,"2,507",0,0,0,0,0
African Burial Ground NM,AFBG,National Monument,Northeast,NY,2017,5,"5,329",0,0,0,0,0
African Burial Ground NM,AFBG,National Monument,Northeast,NY,2017,6,"3,750",0,0,0,0,0
