ParkName,ParkCode,Region,Location,Year,Month,Count
Acadia NP,ACAD,Northeast,TRAFFIC COUNT AT SAND BEACH,2017,1,"3,561"
Acadia NP,ACAD,Northeast,TRAFFIC COUNT AT SAND BEACH,2017,2,"3,345"
Acadia NP,ACAD,Northeast,TRAFFIC COUNT AT SAND BEACH,2017,3,"3,849"
Acadia NP,ACAD,Northeast,TRAFFIC COUNT AT SAND BEACH,2017,4,"11,101"
Acadia NP,ACAD,Northeast,TRAFFIC COUNT AT SAND BEACH,2017,5,"25,473"
Acadia NP,ACAD,Northeast,TRAFFIC COUNT AT SAND BEACH,2017,6,"50,576"
Acadia NP,ACAD,Northeast,TRAFFIC COUNT AT SAND BEACH,2017,7,"75,152"
Acadia NP,ACAD,Northeast,TRAFFIC COUNT AT SAND BEACH,2017,8,"76,926"
Acadia NP,ACAD,Northeast,TRAFFIC COUNT AT SAND BEACH,2017,9,"61,430"
Acadia NP,ACAD,Northeast,TRAFFIC COUNT AT SAND BEACH,2017,10,"56,664"
Acadia NP,ACAD,Northeast,TRAFFIC COUNT AT SAND BEACH,2017,11,"6,992"
Acadia NP,ACAD,Northeast,TRAFFIC COUNT AT SAND BEACH,2017,12,"2,690"
Acadia NP,ACAD,Northeast,TRAFFIC COUNT AT SCHOODIC,2017,1,"1,950"
Acadia NP,ACAD,Northeast,TRAFFIC COUNT AT SCHOODIC,2017,2,"1,750"
Acadia NP,ACAD,Northeast,TRAFFIC COUNT AT SCHOODIC,2017,3,"2,600"
Acadia NP,ACAD,Northeast,TRAFFIC COUNT AT SCHOODIC,2017,4,"3,300"
Acadia NP,ACAD,Northeast,TRAFFIC COUNT AT SCHOODIC,2017,5,"7,889"
Acadia NP,ACAD,Northeast,TRAFFIC COUNT AT SCHOODIC,2017,6,"14,300"
Acadia NP,ACAD,Northeast,TRAFFIC COUNT AT SCHOODIC,2017,7,"23,126"
Acadia NP,ACAD,Northeast,TRAFFIC COUNT AT SCHOODIC,2017,8,"24,208"
Acadia NP,ACAD,Northeast,TRAFFIC COUNT AT SCHOODIC,2017,9,"18,715"
Acadia NP,ACAD,Northeast,TRAFFIC COUNT AT SCHOODIC,2017,10,"11,213"
Acadia NP,ACAD,Northeast,TRAFFIC COUNT AT SCHOODIC,2017,11,"2,750"
Acadia NP,ACAD,Northeast,TRAFFIC COUNT AT SCHOODIC,2017,12,"1,800"
Arches NP,ARCH,Intermountain,Total Vehicles entering Park,2017,1,"8,873"
Arches NP,ARCH,Intermountain,Total Vehicles entering Park,2017,2,"15,853"
Arches NP,ARCH,Intermountain,Total Vehicles entering Park,2017,3,"47,326"
Arches NP,ARCH,Intermountain,Total Vehicles entering Park,2017,4,"57,145"
Arches NP,ARCH,Intermountain,Total Vehicles entering Park,2017,5,"67,916"
Arches NP,ARCH,Intermountain,Total Vehicles entering Park,2017,6,"68,984"
Arches NP,ARCH,Intermountain,Total Vehicles entering Park,2017,7,"69,555"
Arches NP,ARCH,Intermountain,Total Vehicles entering Park,2017,8,"63,890"
Arches NP,ARCH,Intermountain,Total Vehicles entering Park,2017,9,"66,209"
Arches NP,ARCH,Intermountain,Total Vehicles entering Park,2017,10,"55,339"
Arches NP,ARCH,Intermountain,Total Vehicles entering Park,2017,11,"30,194"
Arches NP,ARCH,Intermountain,Total Vehicles entering Park,2017,12,"18,374"
Assateague Island NS,ASIS,Northeast,TRAFFIC COUNT AT BAYBERRY DRIVE,2017,1,"7,358"
Assateague Island NS,ASIS,Northeast,TRAFFIC COUNT AT BAYBERRY DRIVE,2017,2,"10,000"
Assateague Island NS,ASIS,Northeast,TRAFFIC COUNT AT BAYBERRY DRIVE,2017,3,"9,670"
Assateague Island NS,ASIS,Northeast,TRAFFIC COUNT AT BAYBERRY DRIVE,2017,4,"23,835"
Assateague Island NS,ASIS,Northeast,TRAFFIC COUNT AT BAYBERRY DRIVE,2017,5,"29,671"
Assateague Island NS,ASIS,Northeast,TRAFFIC COUNT AT BAYBERRY DRIVE,2017,6,"55,614"
Assateague Island NS,ASIS,Northeast,TRAFFIC COUNT AT BAYBERRY DRIVE,2017,7,"69,417"
Assateague Island NS,ASIS,Northeast,TRAFFIC COUNT AT BAYBERRY DRIVE,2017,8,"68,303"
Assateague Island NS,ASIS,Northeast,TRAFFIC COUNT AT BAYBERRY DRIVE,2017,9,"41,450"
Assateague Island NS,ASIS,Northeast,TRAFFIC COUNT AT BAYBERRY DRIVE,2017,10,"35,032"
Assateague Island NS,ASIS,Northeast,TRAFFIC COUNT AT BAYBERRY DRIVE,2017,11,"11,486"
Assateague Island NS,ASIS,Northeast,TRAFFIC COUNT AT BAYBERRY DRIVE,2017,12,"6,841"
Assateague Island NS,ASIS,Northeast,TRAFFIC COUNT AT FWS ENTRANCE,2017,1,"9,285"
Assateague Island NS,ASIS,Northeast,TRAFFIC COUNT AT FWS ENTRANCE,2017,2,"11,931"
Assateague Island NS,ASIS,Northeast,TRAFFIC COUNT AT FWS ENTRANCE,2017,3,"14,848"
Assateague Island NS,ASIS,Northeast,TRAFFIC COUNT AT FWS ENTRANCE,2017,4,"26,621"
Assateague Island NS,ASIS,Northeast,TRAFFIC COUNT AT FWS ENTRANCE,2017,5,"34,432"
Assateague Island NS,ASIS,Northeast,TRAFFIC COUNT AT FWS ENTRANCE,2017,6,"52,446"
Assateague Island NS,ASIS,Northeast,TRAFFIC COUNT AT FWS ENTRANCE,2017,7,"89,338"
Assateague Island NS,ASIS,Northeast,TRAFFIC COUNT AT FWS ENTRANCE,2017,8,"74,166"
Assateague Island NS,ASIS,Northeast,TRAFFIC COUNT AT FWS ENTRANCE,2017,9,"43,889"
Assateague Island NS,ASIS,Northeast,TRAFFIC COUNT AT FWS ENTRANCE,2017,10,"25,018"
Assateague Island NS,ASIS,Northeast,TRAFFIC COUNT AT FWS ENTRANCE,2017,11,"16,257"
Assateague Island NS,ASIS,Northeast,TRAFFIC COUNT AT FWS ENTRANCE,2017,12,"9,045"
Badlands NP,BADL,Midwest,TOTAL TRAFFIC COUNT AT INTERIOR ENTRANCE (2602),2017,1,"2,992"
Badlands NP,BADL,Midwest,TOTAL TRAFFIC COUNT AT INTERIOR ENTRANCE (2602),2017,2,"3,039"
Badlands NP,BADL,Midwest,TOTAL TRAFFIC COUNT AT INTERIOR ENTRANCE (2602),2017,3,"4,425"
Badlands NP,BADL,Midwest,TOTAL TRAFFIC COUNT AT INTERIOR ENTRANCE (2602),2017,4,"5,696"
Badlands NP,BADL,Midwest,TOTAL TRAFFIC COUNT AT INTERIOR ENTRANCE (2602),2017,5,"11,169"
Badlands NP,BADL,Midwest,TOTAL TRAFFIC COUNT AT INTERIOR ENTRANCE (2602),2017,6,"19,363"
Badlands NP,BADL,Midwest,TOTAL TRAFFIC COUNT AT INTERIOR ENTRANCE (2602),2017,7,"22,681"
Badlands NP,BADL,Midwest,TOTAL TRAFFIC COUNT AT INTERIOR ENTRANCE (2602),2017,8,"22,633"
Badlands NP,BADL,Midwest,TOTAL TRAFFIC COUNT AT INTERIOR ENTRANCE (2602),2017,9,"14,255"
Badlands NP,BADL,Midwest,TOTAL TRAFFIC COUNT AT INTERIOR ENTRANCE (2602),2017,10,"7,233"
Badlands NP,BADL,Midwest,TOTAL TRAFFIC COUNT AT INTERIOR ENTRANCE (2602),2017,11,"3,939"
Badlands NP,BADL,Midwest,TOTAL TRAFFIC COUNT AT INTERIOR ENTRANCE (2602),2017,12,"2,790"
Badlands NP,BADL,Midwest,TOTAL TRAFFIC COUNT AT NORTHEAST ENTRANCE (2601),2017,1,"2,595"
Badlands NP,BADL,Midwest,TOTAL TRAFFIC COUNT AT NORTHEAST ENTRANCE (2601),2017,2,"2,801"
Badlands NP,BADL,Midwest,TOTAL TRAFFIC COUNT AT NORTHEAST ENTRANCE (2601),2017,3,"4,808"
Badlands NP,BADL,Midwest,TOTAL TRAFFIC COUNT AT NORTHEAST ENTRANCE (2601),2017,4,"4,429"
Badlands NP,BADL,Midwest,TOTAL TRAFFIC COUNT AT NORTHEAST ENTRANCE (2601),2017,5,"15,988"
Badlands NP,BADL,Midwest,TOTAL TRAFFIC COUNT AT NORTHEAST ENTRANCE (2601),2017,6,"32,799"
Badlands NP,BADL,Midwest,TOTAL TRAFFIC COUNT AT NORTHEAST ENTRANCE (2601),2017,7,"40,631"
Badlands NP,BADL,Midwest,TOTAL TRAFFIC COUNT AT NORTHEAST ENTRANCE (2601),2017,8,"32,681"
Badlands NP,BADL,Midwest,TOTAL TRAFFIC COUNT AT NORTHEAST ENTRANCE (2601),2017,9,"23,642"
