ParkName,ParkType,Region,Location,Count
Acadia NP,National Park,Northeast,TRAFFIC COUNT AT SAND BEACH,"377,759"
Acadia NP,National Park,Northeast,TRAFFIC COUNT AT SCHOODIC,"113,601"
Arches NP,National Park,Intermountain,Total Vehicles entering Park,"569,658"
Assateague Island NS,National Seashore,Northeast,TRAFFIC COUNT AT BAYBERRY DRIVE,"368,677"
Assateague Island NS,National Seashore,Northeast,TRAFFIC COUNT AT FWS ENTRANCE,"407,276"
Badlands NP,National Park,Midwest,TOTAL TRAFFIC COUNT AT INTERIOR ENTRANCE (2602),"120,215"
Badlands NP,National Park,Midwest,TOTAL TRAFFIC COUNT AT NORTHEAST ENTRANCE (2601),"171,792"
Badlands NP,National Park,Midwest,TOTAL TRAFFIC COUNT AT PINNACLES ENTRANCE (2603),"125,856"
Bandelier NM,National Monument,Intermountain,TRAFFIC COUNT AT ENTRANCE,0
Big Bend NP,National Park,Intermountain,TRAFFIC COUNT AT ROUTE 11-PERS.GAP,"59,595"
Big Bend NP,National Park,Intermountain,TRAFFIC COUNT AT ROUTE 13-MAVERICK,"96,153"
Big Cypress NPRES,National Preserve,Southeast,TRAFFIC COUNT AT BEAR ISLAND,"6,524"
Big Cypress NPRES,National Preserve,Southeast,TRAFFIC COUNT AT DONA DRIVE,"15,652"
Big Cypress NPRES,National Preserve,Southeast,TRAFFIC COUNT AT KIRBY STORTER,"25,713"
Big Cypress NPRES,National Preserve,Southeast,TRAFFIC COUNT AT MITCHELL'S LANDING,"2,087"
Big Cypress NPRES,National Preserve,Southeast,TRAFFIC COUNT AT MONUMENT LAKE CG,"11,647"
Big Cypress NPRES,National Preserve,Southeast,TRAFFIC COUNT AT OASIS PARKING LOT,"98,195"
Big Cypress NPRES,National Preserve,Southeast,TRAFFIC COUNT AT PINECREST,0
Big Cypress NPRES,National Preserve,Southeast,TRAFFIC COUNT AT TURNER RIVER CANOE LAUNCH,"15,250"
Big Cypress NPRES,National Preserve,Southeast,TRAFFIC COUNT AT WEST LOOP,"25,632"
